,Tokens
0,209.0
1,bulhx
2,gluck
3,orbit
4,lucki
5,free-wheel
6,fecom
7,dingel
8,deficit
9,wholesal
10,0.5165
11,ccl
12,106.12
13,"213,287"
14,sec
15,295.6
16,"1,627,603-share"
17,145.11
18,hassl
19,rearrang
20,insecticid
21,nabor
22,367.9
23,primari
24,864.4
25,magnesium
26,.237
27,chop
28,5.84073
29,erupt
30,ricart
31,fmdc
32,harken
33,l'air
34,metzenbaum
35,tintaya
36,"464,400"
37,stripper
38,koren
39,apera
40,1.10-1.15
41,white-minor
42,laidlaw
43,resili
44,bankcorp
45,ulyss
46,inaccur
47,"8,492.1"
48,export-ori
49,occur
50,jaap
51,w.a
52,"431,000"
53,1980-86
54,"2,444,260"
55,fox
56,"328,468"
57,nmk
58,42.9
59,discreetli
60,premium
61,lansdal
62,"841,893"
63,darwin
64,best
65,crossen
66,thomasvil
67,redoglia
68,pentair
69,20.36
70,218.46
71,99.65
72,fully-dilut
73,lli
74,rxh
75,mauno
76,myg
77,18-3
78,suchard
79,coffer
80,icn.n
81,37.5
82,841.4
83,impoverish
84,diagnost
85,obviou
86,"31,500"
87,complianc
88,oppenheim
89,determin
90,after-effect
91,"2,930,000"
92,amplifi
93,10.51
94,industrial
95,24.12
96,mcdp.p
97,reenter
98,micron
99,"574,363"
100,ortega
101,"346,011"
102,wilder
103,mahasarakam
104,60.50
105,re-evalu
106,hsla
107,malawi
108,1.8218
109,'liber
110,"1,644.0"
111,twinned-port
112,ebmi
113,impractic
114,younger
115,grph
116,8.5
117,133.5
118,unfair
119,"481,800"
120,irn
121,50.99
122,carniv
123,cogniz
124,gsu
125,honour
126,berkley
127,"6,254,000"
128,"4,739,000"
129,norinchukin
130,25
131,paterson
132,mcf
133,nynex
134,"14,600"
135,ozal
136,amb
137,12.05
138,gold-copp
139,"6,292,000"
140,columbia
141,"62,004"
142,9.91
143,salmonella
144,"1,091,023"
145,balance-d
146,"249,192"
147,181.2
148,"22,809"
149,carat
150,pmdb
151,abrassuco
152,18.845
153,"534,806"
154,"1,963.8-x"
155,"3,292,663"
156,17.52
157,vsevolod
158,543
159,"6,034"
160,audit
161,l.p
162,6.14
163,sooon
164,17-1
165,brilliant
166,co-underwrit
167,al.n
168,widepread
169,"34,750"
170,hor
171,nomine
172,"1,647,481"
173,ride
174,three-for-two
175,10.251
176,736.7
177,monkey
178,215.0
179,fnlt
180,caecl
181,instantli
182,110.1675
183,"26,700"
184,bilion
185,relationship
186,77.60
